food_name,serving_desc,serving_size,serving_size_unit
"Pork steak or cutlet, breaded or floured, broiled or baked, NS as to fat eaten","1 small steak/cutlet (yield after cooking, bone removed)",164,g
"Pork steak or cutlet, breaded or floured, broiled or baked, NS as to fat eaten","1 medium steak/cutlet (yield after cooking, bone removed)",193,g
"Pork steak or cutlet, breaded or floured, broiled or baked, NS as to fat eaten","1 large steak/cutlet (yield after cooking, bone removed)",237,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten","1 oz, with bone, raw (yield after cooking, bone removed)",18,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten","1 oz, with bone, cooked (yield after bone removed)",21,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten","1 oz, boneless, raw (yield after cooking)",25,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten","1 oz, boneless, cooked",28.35,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten","1 cubic inch, boneless, cooked",17,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten","1 cup, cooked, diced",134,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten","1 small steak/cutlet (yield after cooking, bone removed)",164,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten","1 medium steak/cutlet (yield after cooking, bone removed)",193,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten","1 large steak/cutlet (yield after cooking, bone removed)",237,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","1 oz, with bone, raw (yield after cooking, bone and fat removed)",16,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","1 oz, with bone, cooked (yield after bone and fat removed)",19,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","1 oz, boneless, raw (yield after cooking, fat removed)",22,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","1 oz, boneless, cooked (yield after fat removed)",26,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","1 cubic inch, boneless, cooked, fat removed",17,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","1 cup, cooked, diced",134,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","1 oz, with bone, cooked, lean only (yield after bone removed)",21,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","1 oz, with bone, raw, lean only (yield after cooking, bone removed)",18,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","1 oz, boneless, cooked, lean only",28.35,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","1 oz, boneless, raw, lean only (yield after cooking)",25,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","1 small steak/cutlet (yield after cooking, bone and fat removed)",144,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","1 medium steak/cutlet (yield after cooking, bone and fat removed)",169,g
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","1 large steak/cutlet (yield after cooking, bone and fat removed)",208,g
"Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten","1 oz, with bone, raw (yield after cooking, bone removed)",18,g
"Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten","1 oz, with bone, cooked (yield after bone removed)",21,g
"Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten","1 oz, boneless, raw (yield after cooking)",25,g
"Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten","1 oz, boneless, cooked",28.35,g
"Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten","1 cubic inch, boneless, cooked",17,g
"Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten","1 cup, cooked, diced",134,g
"Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten","1 small steak/cutlet (yield after cooking, bone removed)",164,g
"Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten","1 large steak/cutlet (yield after cooking, bone removed)",237,g
"Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten","1 medium steak/cutlet (yield after cooking, bone removed)",193,g
"Pork steak or cutlet, breaded or floured, fried, lean and fat eaten","1 oz, with bone, raw (yield after cooking, bone removed)",18,g
"Pork steak or cutlet, breaded or floured, fried, lean and fat eaten","1 oz, with bone, cooked (yield after bone removed)",21,g
"Pork steak or cutlet, breaded or floured, fried, lean and fat eaten","1 oz, boneless, raw (yield after cooking)",25,g
"Pork steak or cutlet, breaded or floured, fried, lean and fat eaten","1 oz, boneless, cooked",28.35,g
"Pork steak or cutlet, breaded or floured, fried, lean and fat eaten","1 cubic inch, boneless, cooked",17,g
"Pork steak or cutlet, breaded or floured, fried, lean and fat eaten","1 cup, cooked, diced",134,g
"Pork steak or cutlet, breaded or floured, fried, lean and fat eaten","1 small steak/cutlet (yield after cooking, bone removed)",164,g
"Pork steak or cutlet, breaded or floured, fried, lean and fat eaten","1 medium steak/cutlet (yield after cooking, bone removed)",193,g
"Pork steak or cutlet, breaded or floured, fried, lean and fat eaten","1 large steak/cutlet (yield after cooking, bone removed)",237,g
"Pork steak or cutlet, breaded or floured, fried, lean only eaten","1 oz, with bone, cooked, lean only (yield after bone removed)",21,g
"Pork steak or cutlet, breaded or floured, fried, lean only eaten","1 oz, with bone, raw, lean only (yield after cooking, bone removed)",18,g
"Pork steak or cutlet, breaded or floured, fried, lean only eaten","1 oz, boneless, cooked, lean only",28.35,g
"Pork steak or cutlet, breaded or floured, fried, lean only eaten","1 oz, boneless, raw, lean only (yield after cooking)",25,g
"Pork steak or cutlet, breaded or floured, fried, lean only eaten","1 oz, with bone, raw (yield after cooking, bone and fat removed)",16,g
"Pork steak or cutlet, breaded or floured, fried, lean only eaten","1 oz, with bone, cooked (yield after bone and fat removed)",19,g
"Pork steak or cutlet, breaded or floured, fried, lean only eaten","1 oz, boneless, raw (yield after cooking, fat removed)",22,g
"Pork steak or cutlet, breaded or floured, fried, lean only eaten","1 oz, boneless, cooked (yield after fat removed)",26,g
"Pork steak or cutlet, breaded or floured, fried, lean only eaten","1 cubic inch, boneless, cooked, fat removed",17,g
"Pork steak or cutlet, breaded or floured, fried, lean only eaten","1 cup, cooked, diced",134,g
"Pork steak or cutlet, breaded or floured, fried, lean only eaten","1 small steak/cutlet (yield after cooking, bone and fat removed)",144,g
"Pork steak or cutlet, breaded or floured, fried, lean only eaten","1 medium steak/cutlet (yield after cooking, bone and fat removed)",169,g
"Pork steak or cutlet, breaded or floured, fried, lean only eaten","1 large steak/cutlet (yield after cooking, bone and fat removed)",208,g
"Pork, tenderloin, cooked, NS as to cooking method",1 thin slice,21,g
"Pork, tenderloin, cooked, NS as to cooking method",1 medium slice,42,g
"Pork, tenderloin, cooked, NS as to cooking method",1 thick slice,63,g
"Pork, tenderloin, cooked, NS as to cooking method",1 piece,42,g
"Pork, tenderloin, cooked, NS as to cooking method","1 oz, boneless, raw (yield after cooking)",21,g
"Pork, tenderloin, cooked, NS as to cooking method","1 oz, boneless, cooked",28.35,g
"Pork, tenderloin, cooked, NS as to cooking method","1 cup, cooked, diced",134,g
"Pork, tenderloin, cooked, NS as to cooking method","1 cubic inch, boneless, cooked",17,g
"Pork, tenderloin, breaded, fried",1 thin slice,21,g
"Pork, tenderloin, breaded, fried",1 medium slice,42,g
"Pork, tenderloin, breaded, fried",1 thick slice,63,g
"Pork, tenderloin, breaded, fried",1 piece,42,g
"Pork, tenderloin, breaded, fried","1 oz, boneless, raw (yield after cooking)",25,g
"Pork, tenderloin, breaded, fried","1 oz, boneless, cooked",28.35,g
"Pork, tenderloin, breaded, fried","1 cubic inch, boneless, cooked",17,g
"Pork, tenderloin, breaded, fried","1 cup, cooked, diced",134,g
"Pork, tenderloin, braised",1 thin slice,21,g
"Pork, tenderloin, braised",1 medium slice,42,g
"Pork, tenderloin, braised",1 thick slice,63,g
"Pork, tenderloin, braised",1 piece,42,g
"Pork, tenderloin, braised","1 oz, boneless, raw (yield after cooking)",20,g
"Pork, tenderloin, braised","1 oz, boneless, cooked",28.35,g
"Pork, tenderloin, braised","1 cubic inch, boneless, cooked",17,g
"Pork, tenderloin, braised","1 cup, cooked, diced",134,g
"Pork, tenderloin, baked",1 thin slice,21,g
"Pork, tenderloin, baked",1 medium slice,42,g
"Pork, tenderloin, baked",1 thick slice,63,g
"Pork, tenderloin, baked","1 oz, boneless, raw (yield after cooking)",21,g
"Pork, tenderloin, baked",1 piece,42,g
"Pork, tenderloin, baked","1 oz, boneless, cooked",28.35,g
"Pork, tenderloin, baked","1 cup, cooked, diced",134,g
"Pork, tenderloin, baked","1 cubic inch, boneless, cooked",17,g
"Pork, tenderloin, battered, fried",1 thin slice,21,g
"Pork, tenderloin, battered, fried",1 medium slice,42,g
"Pork, tenderloin, battered, fried",1 thick slice,63,g
"Pork, tenderloin, battered, fried",1 piece,42,g
"Pork, tenderloin, battered, fried","1 oz, boneless, raw (yield after cooking)",25,g
"Pork, tenderloin, battered, fried","1 oz, boneless, cooked",28.35,g
"Pork, tenderloin, battered, fried","1 cup, cooked, diced",134,g
"Ham, fried, NS as to fat eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, fried, NS as to fat eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, fried, NS as to fat eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, fried, NS as to fat eaten","1 oz, with bone, raw (yield after cooking, bone removed)",17,g
"Ham, fried, NS as to fat eaten","1 oz, with bone, cooked (yield after bone removed)",27,g
"Ham, fried, NS as to fat eaten","1 oz, boneless, raw (yield after cooking)",18,g
"Ham, fried, NS as to fat eaten","1 oz, boneless, cooked",28.35,g
"Ham, fried, NS as to fat eaten","1 cubic inch, boneless, cooked",17,g
"Ham, fried, NS as to fat eaten","1 cup, cooked, diced",134,g
"Ham, fried, lean and fat eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, fried, lean and fat eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, fried, lean and fat eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, fried, lean and fat eaten","1 oz, with bone, raw (yield after cooking, bone removed)",17,g
"Ham, fried, lean and fat eaten","1 oz, with bone, cooked (yield after bone removed)",27,g
"Ham, fried, lean and fat eaten","1 oz, boneless, raw (yield after cooking)",18,g
"Ham, fried, lean and fat eaten","1 oz, boneless, cooked",28.35,g
"Ham, fried, lean and fat eaten","1 cubic inch, boneless, cooked",17,g
"Ham, fried, lean and fat eaten","1 cup, cooked, diced",134,g
"Ham, fried, lean only eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, fried, lean only eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, fried, lean only eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, fried, lean only eaten","1 oz, with bone, raw, lean only (yield after cooking, bone removed)",17,g
"Ham, fried, lean only eaten","1 oz, with bone, cooked, lean only (yield after bone removed)",27,g
"Ham, fried, lean only eaten","1 oz, boneless, raw, lean only (yield after cooking)",18,g
"Ham, fried, lean only eaten","1 oz, boneless, cooked, lean only",28.35,g
"Ham, fried, lean only eaten","1 oz, with bone, raw (yield after cooking, bone and fat removed)",15,g
"Ham, fried, lean only eaten","1 oz, with bone, cooked (yield after bone and fat removed)",24,g
"Ham, fried, lean only eaten","1 oz, boneless, raw (yield after cooking, fat removed)",16,g
"Ham, fried, lean only eaten","1 oz, boneless, cooked (yield after fat removed)",25,g
"Ham, fried, lean only eaten","1 cubic inch, boneless, cooked, fat removed",17,g
"Ham, fried, lean only eaten","1 cup, cooked, diced",134,g
"Ham, breaded or floured, fried, NS as to fat eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, breaded or floured, fried, NS as to fat eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, breaded or floured, fried, NS as to fat eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, breaded or floured, fried, NS as to fat eaten","1 oz, boneless, raw (yield after cooking)",21,g
"Ham, breaded or floured, fried, NS as to fat eaten","1 oz, boneless, cooked",28.35,g
"Ham, breaded or floured, fried, NS as to fat eaten","1 cubic inch, boneless, cooked",17,g
"Ham, breaded or floured, fried, NS as to fat eaten","1 cup, cooked, diced",134,g
"Ham, breaded or floured, fried, lean and fat eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, breaded or floured, fried, lean and fat eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, breaded or floured, fried, lean and fat eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, breaded or floured, fried, lean and fat eaten","1 oz, boneless, raw (yield after cooking)",21,g
"Ham, breaded or floured, fried, lean and fat eaten","1 oz, boneless, cooked",28.35,g
"Ham, breaded or floured, fried, lean and fat eaten","1 cubic inch, boneless, cooked",17,g
"Ham, breaded or floured, fried, lean and fat eaten","1 cup, cooked, diced",134,g
"Ham, breaded or floured, fried, lean only eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, breaded or floured, fried, lean only eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, breaded or floured, fried, lean only eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, breaded or floured, fried, lean only eaten","1 oz, boneless, raw, lean only (yield after cooking)",21,g
"Ham, breaded or floured, fried, lean only eaten","1 oz, boneless, cooked, lean only",28.35,g
"Ham, breaded or floured, fried, lean only eaten","1 oz, boneless, raw (yield after cooking, fat removed)",19,g
"Ham, breaded or floured, fried, lean only eaten","1 oz, boneless, cooked (yield after fat removed)",25,g
"Ham, breaded or floured, fried, lean only eaten","1 cubic inch, boneless, cooked, fat removed",17,g
"Ham, breaded or floured, fried, lean only eaten","1 cup, cooked, diced",134,g
"Ham, fresh, cooked, NS as to fat eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, fresh, cooked, NS as to fat eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, fresh, cooked, NS as to fat eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, fresh, cooked, NS as to fat eaten","1 oz, with bone, raw (yield after cooking, bone and skin removed)",15,g
"Ham, fresh, cooked, NS as to fat eaten","1 oz, with bone, cooked (yield after bone and skin removed)",23,g
"Ham, fresh, cooked, NS as to fat eaten","1 oz, boneless, raw (yield after cooking)",19,g
"Ham, fresh, cooked, NS as to fat eaten","1 oz, boneless, cooked",28.35,g
"Ham, fresh, cooked, NS as to fat eaten","1 cubic inch, boneless, cooked",17,g
"Ham, fresh, cooked, NS as to fat eaten","1 cup, cooked, diced",134,g
"Ham, fresh, cooked, lean and fat eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, fresh, cooked, lean and fat eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, fresh, cooked, lean and fat eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, fresh, cooked, lean and fat eaten","1 oz, with bone, raw (yield after cooking, bone and skin removed)",15,g
"Ham, fresh, cooked, lean and fat eaten","1 oz, with bone, cooked (yield after bone and skin removed)",23,g
"Ham, fresh, cooked, lean and fat eaten","1 oz, boneless, raw (yield after cooking)",19,g
"Ham, fresh, cooked, lean and fat eaten","1 oz, boneless, cooked",28.35,g
"Ham, fresh, cooked, lean and fat eaten","1 cubic inch, boneless, cooked",17,g
"Ham, fresh, cooked, lean and fat eaten","1 cup, cooked, diced",134,g
"Ham, fresh, cooked, lean only eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, fresh, cooked, lean only eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, fresh, cooked, lean only eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, fresh, cooked, lean only eaten","1 oz, with bone, cooked, lean only (yield after bone removed)",23,g
"Ham, fresh, cooked, lean only eaten","1 oz, with bone, raw, lean only (yield after cooking, bone removed)",15,g
"Ham, fresh, cooked, lean only eaten","1 oz, boneless, cooked, lean only",28.35,g
"Ham, fresh, cooked, lean only eaten","1 oz, boneless, raw, lean only (yield after cooking)",19,g
"Ham, fresh, cooked, lean only eaten","1 oz, with bone, raw (yield after cooking, bone, skin, and fat removed)",13,g
"Ham, fresh, cooked, lean only eaten","1 oz, with bone, cooked (yield after bone, skin, and fat removed)",19,g
"Ham, fresh, cooked, lean only eaten","1 oz, boneless, raw (yield after cooking, fat removed)",16,g
"Ham, fresh, cooked, lean only eaten","1 oz, boneless, cooked (yield after fat removed)",25,g
"Ham, fresh, cooked, lean only eaten","1 cubic inch, boneless, cooked, fat removed",17,g
"Ham, fresh, cooked, lean only eaten","1 cup, cooked, diced",134,g
"Ham, smoked or cured, cooked, NS as to fat eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, smoked or cured, cooked, NS as to fat eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, smoked or cured, cooked, NS as to fat eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, smoked or cured, cooked, NS as to fat eaten","1 oz, with bone, raw (yield after cooking, bone and skin removed)",17,g
"Ham, smoked or cured, cooked, NS as to fat eaten","1 oz, with bone, cooked (yield after bone and skin removed)",22,g
"Ham, smoked or cured, cooked, NS as to fat eaten","1 oz, boneless, raw (yield after cooking)",23,g
"Ham, smoked or cured, cooked, NS as to fat eaten","1 oz, boneless, cooked",28.35,g
"Ham, smoked or cured, cooked, NS as to fat eaten","1 cubic inch, boneless, cooked",17,g
"Ham, smoked or cured, cooked, NS as to fat eaten","1 cup, cooked, diced",134,g
"Ham, smoked or cured, cooked, NS as to fat eaten","1 cup, cooked, shredded",110,g
"Ham, smoked or cured, cooked, NS as to fat eaten","1 cup, cooked, shaved",81,g
"Ham, smoked or cured, cooked, NS as to fat eaten","1 cup, NFS",134,g
"Ham, smoked or cured, cooked, lean and fat eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, smoked or cured, cooked, lean and fat eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, smoked or cured, cooked, lean and fat eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, smoked or cured, cooked, lean and fat eaten","1 oz, with bone, raw (yield after cooking, bone and skin removed)",17,g
"Ham, smoked or cured, cooked, lean and fat eaten","1 oz, with bone, cooked (yield after bone and skin removed)",22,g
"Ham, smoked or cured, cooked, lean and fat eaten","1 oz, boneless, raw (yield after cooking)",23,g
"Ham, smoked or cured, cooked, lean and fat eaten","1 oz, boneless, cooked",28.35,g
"Ham, smoked or cured, cooked, lean and fat eaten","1 cubic inch, boneless, cooked",17,g
"Ham, smoked or cured, cooked, lean and fat eaten","1 cup, cooked, diced",134,g
"Ham, smoked or cured, cooked, lean and fat eaten","1 cup, cooked, shredded",110,g
"Ham, smoked or cured, cooked, lean and fat eaten","1 cup, cooked, shaved",81,g
"Ham, smoked or cured, cooked, lean and fat eaten","1 cup, NFS",134,g
"Ham, smoked or cured, cooked, lean only eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, smoked or cured, cooked, lean only eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, smoked or cured, cooked, lean only eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, smoked or cured, cooked, lean only eaten","1 oz, with bone, cooked, lean only (yield after bone removed)",20,g
"Ham, smoked or cured, cooked, lean only eaten","1 oz, with bone, raw, lean only (yield after cooking, bone removed)",16,g
"Ham, smoked or cured, cooked, lean only eaten","1 oz, boneless, cooked, lean only",28.35,g
"Ham, smoked or cured, cooked, lean only eaten","1 oz, boneless, raw, lean only (yield after cooking)",23,g
"Ham, smoked or cured, cooked, lean only eaten","1 oz, with bone, raw (yield after cooking, bone, skin, and fat removed)",14,g
"Ham, smoked or cured, cooked, lean only eaten","1 oz, with bone, cooked (yield after bone, skin, and fat removed)",18,g
"Ham, smoked or cured, cooked, lean only eaten","1 oz, boneless, raw (yield after cooking, fat removed)",20,g
"Ham, smoked or cured, cooked, lean only eaten","1 oz, boneless, cooked (yield after fat removed)",25,g
"Ham, smoked or cured, cooked, lean only eaten","1 cubic inch, boneless, cooked, fat removed",17,g
"Ham, smoked or cured, cooked, lean only eaten","1 cup, cooked, diced",134,g
"Ham, smoked or cured, cooked, lean only eaten","1 cup, cooked, shredded",110,g
"Ham, smoked or cured, cooked, lean only eaten","1 cup, cooked, shaved",81,g
"Ham, smoked or cured, cooked, lean only eaten","1 cup, NFS",134,g
"Ham, prosciutto",1 thin slice,9.2,g
"Ham, prosciutto","1 slice, NFS",9.2,g
"Ham, prosciutto",1 cup,56,g
"Ham, prosciutto","1 oz, boneless",28.35,g
"Ham, prosciutto",1 surface inch,0.35,g
"Ham, smoked or cured, canned, NS as to fat eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, smoked or cured, canned, NS as to fat eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, smoked or cured, canned, NS as to fat eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, smoked or cured, canned, NS as to fat eaten","1 oz, boneless, cooked",28.35,g
"Ham, smoked or cured, canned, NS as to fat eaten","1 cubic inch, boneless, cooked",17,g
"Ham, smoked or cured, canned, NS as to fat eaten","1 cup, diced",134,g
"Ham, smoked or cured, canned, lean and fat eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, smoked or cured, canned, lean and fat eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, smoked or cured, canned, lean and fat eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, smoked or cured, canned, lean and fat eaten","1 oz, boneless, cooked",28.35,g
"Ham, smoked or cured, canned, lean and fat eaten","1 cubic inch, boneless, cooked",17,g
"Ham, smoked or cured, canned, lean and fat eaten","1 cup, diced",134,g
"Ham, smoked or cured, canned, lean only eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Ham, smoked or cured, canned, lean only eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Ham, smoked or cured, canned, lean only eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Ham, smoked or cured, canned, lean only eaten","1 oz, boneless, cooked (yield after fat removed)",26,g
"Ham, smoked or cured, canned, lean only eaten","1 cubic inch, boneless, cooked, fat removed",17,g
"Ham, smoked or cured, canned, lean only eaten","1 cup, diced",134,g
"Ham, smoked or cured, canned, lean only eaten","1 oz, boneless, cooked, lean only",28.35,g
"Ham, smoked or cured, ground patty","1 oz, raw (yield after cooking)",26,g
"Ham, smoked or cured, ground patty","1 oz, cooked",28.35,g
"Ham, smoked or cured, ground patty",1 patty,60,g
"Ham, smoked or cured, ground patty",1 cup,123,g
"Pork roast, NS as to cut, cooked, NS as to fat eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Pork roast, NS as to cut, cooked, NS as to fat eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Pork roast, NS as to cut, cooked, NS as to fat eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Pork roast, NS as to cut, cooked, NS as to fat eaten","1 oz, with bone, raw (yield after cooking, bone removed)",17,g
"Pork roast, NS as to cut, cooked, NS as to fat eaten","1 oz, with bone, cooked (yield after bone removed)",22,g
"Pork roast, NS as to cut, cooked, NS as to fat eaten","1 oz, boneless, raw (yield after cooking)",21,g
"Pork roast, NS as to cut, cooked, NS as to fat eaten","1 oz, boneless, cooked",28.35,g
"Pork roast, NS as to cut, cooked, NS as to fat eaten","1 cubic inch, boneless, cooked",17,g
"Pork roast, NS as to cut, cooked, NS as to fat eaten","1 cup, cooked, diced",134,g
"Pork roast, NS as to cut, cooked, lean and fat eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Pork roast, NS as to cut, cooked, lean and fat eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Pork roast, NS as to cut, cooked, lean and fat eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Pork roast, NS as to cut, cooked, lean and fat eaten","1 oz, with bone, raw (yield after cooking, bone removed)",17,g
"Pork roast, NS as to cut, cooked, lean and fat eaten","1 oz, with bone, cooked (yield after bone removed)",22,g
"Pork roast, NS as to cut, cooked, lean and fat eaten","1 oz, boneless, raw (yield after cooking)",21,g
"Pork roast, NS as to cut, cooked, lean and fat eaten","1 oz, boneless, cooked",28.35,g
"Pork roast, NS as to cut, cooked, lean and fat eaten","1 cubic inch, boneless, cooked",17,g
"Pork roast, NS as to cut, cooked, lean and fat eaten","1 cup, cooked, diced",134,g
"Pork roast, NS as to cut, cooked, lean only eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Pork roast, NS as to cut, cooked, lean only eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Pork roast, NS as to cut, cooked, lean only eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Pork roast, NS as to cut, cooked, lean only eaten","1 oz, with bone, cooked, lean only (yield after bone removed)",22,g
"Pork roast, NS as to cut, cooked, lean only eaten","1 oz, with bone, raw, lean only (yield after cooking, bone removed)",16,g
"Pork roast, NS as to cut, cooked, lean only eaten","1 oz, boneless, cooked, lean only",28.35,g
"Pork roast, NS as to cut, cooked, lean only eaten","1 oz, boneless, raw, lean only (yield after cooking)",21,g
"Pork roast, NS as to cut, cooked, lean only eaten","1 oz, with bone, raw (yield after cooking, bone and fat removed)",15,g
"Pork roast, NS as to cut, cooked, lean only eaten","1 oz, with bone, cooked (yield after bone and fat removed)",20,g
"Pork roast, NS as to cut, cooked, lean only eaten","1 oz, boneless, raw (yield after cooking, fat removed)",19,g
"Pork roast, NS as to cut, cooked, lean only eaten","1 oz, boneless, cooked (yield after fat removed)",26,g
"Pork roast, NS as to cut, cooked, lean only eaten","1 cubic inch, boneless, cooked, fat removed",17,g
"Pork roast, NS as to cut, cooked, lean only eaten","1 cup, cooked, diced",134,g
"Pork roast, loin, cooked, NS as to fat eaten","1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",21,g
"Pork roast, loin, cooked, NS as to fat eaten","1 medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")",42,g
"Pork roast, loin, cooked, NS as to fat eaten","1 thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")",63,g
"Pork roast, loin, cooked, NS as to fat eaten","1 oz, with bone, raw (yield after cooking, bone removed)",17,g
"Pork roast, loin, cooked, NS as to fat eaten","1 oz, with bone, cooked (yield after bone removed)",22,g
"Pork roast, loin, cooked, NS as to fat eaten","1 oz, boneless, raw (yield after cooking)",21,g
