food_name|description|energy|protein|total_fat|saturated_fat|dietary_fibre|carbohydrate|cholesterol|sodium
Beansprouts with salted fish, stir fried||88.8 kcal|4.78 g|7.06 g|2.01 g|1.25 g|1.62 g|3.32 mg|690.77 mg
Beansprouts, mung, boiled, drained||23.01 kcal|2.22 g|0.1 g|0.03 g|0.88 g|4.59 g|NA|10.96 mg
Bee hoon soto|Bee hoon soto; Bihun soto|358.72 kcal|19.76 g|17.32 g|6.77 g|3.52 g|30.95 g|62.43 mg|1537.37 mg
Bee hoon soup|Bee hoon soup; Bihun soup Beehoon, W/ pork+beansprouts+prawn+fishball+fishcake, soup|580.45 kcal|29.25 g|18.01 g|6.11 g|7.28 g|75.4 g|109.2 mg|856.05 mg
Beef Bolognese|Pasta, meat sauce, meatballs and vegetables|451.2 kcal|24 g|11.81 g|4.18 g|12.48 g|61.92 g|NA|1185.6 mg
Beef Don|Rice, beef, onion, pickles and egg|527.45 kcal|27.72 g|11.28 g|5.16 g|5.78 g|78.54 g|NA|908.6 mg
Beef Goulash||252.88 kcal|30.62 g|10.9 g|3.16 g|1.16 g|5.75 g|78.88 mg|524.32 mg
Beef Lasagna||461.12 kcal|27.81 g|19.71 g|8.1 g|7.39 g|39.42 g|59.84 mg|795.52 mg
Beef Lasagne, Pizzahut||917 kcal|58.43 g|40.61 g|20.7 g|13.62 g|79.91 g|66.55 mg|2360.62 mg
Beef Taco||184.08 kcal|8.42 g|10.51 g|3.63 g|2.81 g|11.19 g|24.18 mg|348.66 mg
Beef and Teriyaki Chicken Bento|Rice, chicken, beef, vegetables and mayonnaise|743.28 kcal|43.03 g|20.88 g|7.92 g|10.76 g|95.35 g|NA|1515.9 mg
Beef and egg porridge|Rice porridge with sliced beef and egg, topped wth green onion and peanut|285.32 kcal|16.12 g|19.95 g|4.72 g|1.57 g|10.36 g|210.37 mg|1354.08 mg
Beef ball kway teow soup||627 kcal|38.5 g|14.3 g|6.99 g|5.5 g|86.35 g|38.5 mg|1496 mg
Beef ball soup||627 kcal|38.5 g|14.3 g|6.99 g|5.5 g|86.35 g|38.5 mg|1496 mg
Beef banh mi|Vietnamese beef baguette sandwich|425.6 kcal|29.34 g|14.4 g|4.68 g|2.69 g|44.8 g|NA|965.44 mg
Beef broth, dried||8.57 kcal|0.58 g|0.32 g|0.16 g|NA|0.85 g|0.36 mg|611.35 mg
Beef burger (2018)|Bun, beef patty, pickles|264.96 kcal|14.21 g|11.62 g|5.75 g|2.18 g|25.86 g|NA|529.92 mg
Beef burger with cheese|Cheeseburger|300.12 kcal|17 g|12 g|5.99 g|2.31 g|32 g|41.01 mg|690.01 mg
Beef hor fun|Broad rice noodles with sliced beef and green vegetables, stir-fried|697.45 kcal|19.72 g|26.46 g|11.54 g|6.25 g|94.76 g|38.48 mg|1717.17 mg
Beef in tomato sauce|Daging lembu masek merah|168.81 kcal|16.69 g|7.11 g|5.71 g|1.22 g|9.53 g|53.66 mg|384.11 mg
Beef noodles soup|Thick, white rice noodles in a brown beef stock broth with thin slices of beef and topped with bean sprouts|412.15 kcal|29.14 g|5.98 g|2.07 g|5.33 g|59.91 g|50.98 mg|3978.37 mg
Beef patty, raw||186.48 kcal|16.65 g|11.69 g|4.56 g|NA|3.63 g|69.56 mg|307.84 mg
Beef pho|Noodle, beef, beanspout|355.5 kcal|22.12 g|4.98 g|2.37 g|3.95 g|56.09 g|NA|2204.1 mg
Beef porridge|Rice porridge with sliced beef and egg, topped wth green onion and peanut|285.32 kcal|16.12 g|19.95 g|4.72 g|1.57 g|10.36 g|210.37 mg|1354.08 mg
Beef rendang|Rendang daging lembu|596.03 kcal|68.08 g|34.44 g|16.55 g|7.48 g|3.74 g|237.63 mg|1337.67 mg
Beef satay, with satay sauce|Satay lembu|28.74 kcal|2.92 g|0.88 g|0.37 g|NA|2.3 g|19.68 mg|27.96 mg
Beef satay, without satay sauce|Satay lembu|28.74 kcal|2.92 g|0.88 g|0.37 g|NA|2.3 g|19.68 mg|27.96 mg
Beef serunding (Malay)|Beef serunding|729.33 kcal|33.64 g|62.49 g|47.25 g|11.87 g|8.09 g|73.11 mg|1518.58 mg
Beef shin, with vegetable|Beef shin, with mixed vegetable, claypot|280.39 kcal|25.32 g|16.61 g|4.76 g|6.53 g|7.89 g|46.28 mg|1107.94 mg
Beef stomach noodles|Noodles, cooked, served with braised beef meat and beef stomach|398.48 kcal|31.64 g|12.01 g|4.34 g|5.27 g|41.02 g|61.53 mg|1004.99 mg
Beef udon, soup|Udon, beef, soup|458.83 kcal|24.52 g|15.8 g|6.89 g|3.35 g|54.6 g|123.24 mg|2051.47 mg
Beef, blade steak, grilled, lean and fat|Grilled as purchased without removal of internal and external separable fat after cooking. Weight loss on cooking 33%.|227.65 kcal|36.6 g|8.88 g|3.36 g|NA|NA|96 mg|55.2 mg
Beef, blade steak, grilled, lean only|Grilled as purchased with external separable fat removed after cooking and with minimal internal separable fat remaining.|183.01 kcal|35.39 g|4.48 g|1.46 g|NA|NA|90.72 mg|53.76 mg
Beef, blade steak, raw, lean and fat|Raw meat as purchased without removal of any separable fats.|330 kcal|40.57 g|18.74 g|6.96 g|NA|NA|92.74 mg|100.46 mg
Beef, blade steak, raw, lean only|Grilled as purchased with internal and external separable fat removed after cooking.|198.22 kcal|38.81 g|4.54 g|1.57 g|NA|NA|78.66 mg|97.89 mg
Beef, boneless, unspecified cut, cooked, lean only||345.8 kcal|59.47 g|11.97 g|5.3 g|NA|NA|142.5 mg|114 mg
Beef, boneless, unspecified cut, raw, lean and fat||388.77 kcal|42.14 g|24.65 g|11.8 g|NA|NA|134.85 mg|113.78 mg
Beef, boneless, unspecified cut, raw, lean only||257.96 kcal|46.44 g|7.96 g|3.87 g|NA|NA|129 mg|124.7 mg
Beef, brisket, corned, boiled , lean and fat||133.03 kcal|10.94 g|10 g|4.53 g|NA|NA|29.5 mg|352.26 mg
Beef, brisket, corned, boiled, lean only||68.76 kcal|10.08 g|3.14 g|1.56 g|NA|NA|23 mg|304.56 mg
Beef, brisket, corned, raw, lean and fat||1087.54 kcal|92.86 g|76.47 g|37.15 g|NA|NA|256.74 mg|5784.79 mg
Beef, brisket, corned, raw, lean only||408.16 kcal|85.39 g|6.9 g|3.45 g|NA|NA|194.06 mg|5304.38 mg
Beef, chuck steak, raw, lean and fat|Raw meat as purchased without removal of internal and external separable fats.|377.18 kcal|45.26 g|21.9 g|8.55 g|NA|NA|137.64 mg|118.87 mg
Beef, chuck steak, raw, lean only|Raw meat with internal and external separable fat removed.|205.7 kcal|38.25 g|5.65 g|1.5 g|NA|NA|111.43 mg|103.12 mg
Beef, chuck steak, simmered, lean and fat||457.6 kcal|59.47 g|24.47 g|11.07 g|NA|NA|153.6 mg|82.16 mg
Beef, chuck steak, simmered, lean only||259.57 kcal|47.2 g|7.68 g|3.71 g|NA|NA|104.89 mg|62.68 mg
Beef, cooked in soya sauce, simmered (Malay)|Daging masak kicap|243.29 kcal|20.2 g|13.74 g|3.41 g|4.77 g|9.69 g|67.12 mg|984.68 mg
Beef, cooked in turmeric sauce, ginger, simmered (Malay)||222.71 kcal|28.47 g|10.65 g|3.52 g|4.65 g|3.23 g|111.37 mg|786.13 mg
Beef, cooked with coconut milk, garlic, ginger, simmered (Malay)|Beef kurma|612.14 kcal|41.09 g|47.24 g|26.24 g|5.81 g|5.67 g|114.18 mg|590.04 mg
Beef, corned, canned, lean and fat|Cured beef containing salt and sodium nitrite. Lean and fat portions. Generally sold pre-sliced and ready to eat.|100.36 kcal|11.8 g|5.85 g|2.45 g|NA|0.15 g|36 mg|595 mg
Beef, fillet, grilled, lean and fat|Grilled as purchased without removal of internal and external separable fat after cooking. Weight loss on cooking 17%.|158.01 kcal|23.58 g|7.07 g|2.61 g|NA|NA|53.76 mg|36.86 mg
Beef, fillet, grilled, lean only|Grilled as purchased with external separable fat removed after cooking.|124.21 kcal|22.2 g|3.83 g|1.25 g|NA|NA|48.72 mg|34.1 mg
Beef, fillet, raw, lean and fat|Raw meat as purchased without removal of internal and external separable fats.|191.16 kcal|24.23 g|10.48 g|4.17 g|NA|NA|65.37 mg|61.98 mg
Beef, fillet, raw, lean only|Raw meat with internal and external separable fat removed|138 kcal|22.47 g|5.26 g|2.02 g|NA|NA|58.7 mg|57.68 mg
Beef, fried, malay style|Goreng daging lembu|289.29 kcal|26.44 g|13.18 g|5.8 g|2.13 g|15.98 g|105.1 mg|104.55 mg
Beef, liver, boiled||7.15 kcal|1.08 g|0.22 g|0.08 g|NA|0.15 g|17.27 mg|3.11 mg
Beef, minced, raw|Minced beef supplied with a fat content of around 10%, so that it is suitable for general cooking purposes. May also be referred to as being 80 to 90% Chemical Lean.|425.45 kcal|48.24 g|25.92 g|9.36 g|NA|NA|182.4 mg|153.6 mg
Beef, minced, regular, simmered, drained||310.42 kcal|40.12 g|16.66 g|7.14 g|NA|NA|117.3 mg|96.9 mg
Beef, rendang with soya sauce, simmered (Malay)|Rendang berkicap|312.7 kcal|30.32 g|19.61 g|16.33 g|1.98 g|3.76 g|89.18 mg|960.21 mg
Beef, rib steak, grilled, lean and fat||390.6 kcal|34.08 g|28.51 g|13.97 g|NA|NA|114.05 mg|71.28 mg
Beef, rib steak, grilled, lean only||181.22 kcal|32.11 g|5.75 g|2.82 g|NA|NA|84.13 mg|61.56 mg
Beef, rib steak, raw, lean and fat||527.54 kcal|37.06 g|42.73 g|20.86 g|NA|NA|151.88 mg|91.13 mg
Beef, rib steak, raw, lean only||191.23 kcal|34.02 g|5.99 g|2.93 g|NA|NA|105.53 mg|83.48 mg
Beef, ribeye steak, grilled, lean and fat||277.48 kcal|31.02 g|17.19 g|8.46 g|NA|NA|92.97 mg|48.64 mg
Beef, ribeye steak, grilled, lean only||186.62 kcal|29.52 g|7.54 g|3.7 g|NA|NA|77.33 mg|44.32 mg
Beef, ribeye steak, raw, lean and fat||299.34 kcal|33.07 g|18.65 g|9.06 g|NA|NA|111.29 mg|67.4 mg
Beef, ribeye steak, raw, lean only||184.18 kcal|32.02 g|6.1 g|2.99 g|NA|NA|92.86 mg|63.76 mg
Beef, round steak, grilled, lean and fat||441.38 kcal|82.15 g|12.19 g|4.24 g|NA|NA|198.75 mg|111.3 mg
Beef, round steak, grilled, lean only|Grilled as purchased with internal and external separable fat removed after cooking.|366.5 kcal|79.21 g|4.98 g|1.74 g|NA|NA|186.83 mg|107.11 mg
Beef, round steak, raw, lean and fat|Raw meat as purchased without removal of internal and external separable fats.|516.38 kcal|76 g|22.8 g|9.5 g|NA|NA|235.6 mg|182.4 mg
Beef, round steak, raw, lean only|Raw meat with external separable fat and most internal separable fat removed.|351.28 kcal|73.42 g|5.94 g|2.1 g|NA|NA|216.75 mg|174.8 mg
Beef, rump steak, grilled, lean and fat|Grilled as purchased without removal of internal and external separable fat after cooking. Weight loss on cooking 31%.|432.9 kcal|59.46 g|21.48 g|7.56 g|NA|NA|147.15 mg|81.53 mg
Beef, rump steak, grilled, lean only|Grilled as purchased with internal and external separable fat removed after cooking.|295.98 kcal|55.76 g|7.84 g|2.61 g|NA|NA|130.69 mg|74.93 mg
Beef, rump steak, raw, lean and fat|Raw meat as purchased without removal of internal and external separable fats.|617.7 kcal|59.88 g|42.45 g|16.79 g|NA|NA|196.42 mg|145.73 mg
Beef, rump steak, raw, lean only|Raw meat with internal and external separable fat removed.|279.05 kcal|52.88 g|7.26 g|2.59 g|NA|NA|160.7 mg|129.6 mg
Beef, silverside roast, raw, semi-trimmed|Raw meat with external separable fat removed|1304.56 kcal|227.54 g|43.2 g|16.32 g|NA|NA|345.63 mg|412.83 mg
Beef, silverside, baked, lean and fat||95.88 kcal|13.04 g|4.84 g|1.76 g|NA|NA|35.19 mg|20.29 mg
Beef, silverside, baked, lean only||66.51 kcal|12.62 g|1.72 g|0.84 g|NA|NA|30.63 mg|18.68 mg
Beef, silverside, corned, boiled, lean and fat||91.63 kcal|9.95 g|5.81 g|2.86 g|NA|NA|31.5 mg|576.9 mg
Beef, silverside, corned, boiled, lean only||50.81 kcal|9.51 g|1.37 g|0.67 g|NA|NA|27.8 mg|555.93 mg
Beef, silverside, corned, raw, lean and fat||724.59 kcal|89.5 g|40.83 g|20.02 g|NA|NA|257.3 mg|8792.98 mg
Beef, silverside, corned, raw, lean only||402.62 kcal|86.99 g|5.53 g|2.72 g|NA|NA|226.28 mg|8397.59 mg
Beef, silverside, raw, lean and fat||724.59 kcal|89.5 g|40.83 g|20.02 g|NA|NA|257.3 mg|8792.98 mg
Beef, silverside, raw, lean only||402.62 kcal|86.99 g|5.53 g|2.72 g|NA|NA|226.28 mg|8397.59 mg
Beef, sirloin steak, grilled, lean and fat||452.33 kcal|42.9 g|31.52 g|16.15 g|NA|NA|120.45 mg|113.85 mg
Beef, sirloin steak, grilled, lean only|Grilled as purchased with external separable fat removed after cooking.|168.11 kcal|31.6 g|4.47 g|1.56 g|NA|NA|72.77 mg|50.94 mg
Beef, sirloin steak, pan fried, lean and fat||332.52 kcal|28.67 g|23.3 g|9.09 g|NA|NA|99.96 mg|71.4 mg
Beef, sirloin steak, raw, lean and fat|New York steak|461.2 kcal|43.45 g|32.23 g|13.46 g|NA|NA|118.32 mg|102 mg
Beef, sirloin steak, raw, lean only|New York steak|212.54 kcal|40.83 g|5.3 g|2.05 g|NA|NA|99.09 mg|95.68 mg
Beef, spicy, stir fried|Beef, with onion, green pepper, chilli, curry powder, garlic, ginger and lemon grass, stir fried|278.25 kcal|33.54 g|14.48 g|5.28 g|1.91 g|3.43 g|102.91 mg|238.23 mg
Beef, topside roast, baked, lean and fat||2165.4 kcal|315 g|100.5 g|45 g|NA|NA|765 mg|780 mg
Beef, topside roast, baked, lean only||62.73 kcal|11.01 g|2.03 g|0.91 g|NA|NA|27.32 mg|23.6 mg
Beef, topside roast, raw, lean and fat|Raw meat as purchased without removal of internal and external separable fats.|2251.55 kcal|294.37 g|118.85 g|48.37 g|NA|NA|511.34 mg|580.44 mg
Beef, topside roast, raw, lean only|Raw meat with external separable fat removed.|1898.69 kcal|381.57 g|38.74 g|11.74 g|NA|NA|422.66 mg|633.99 mg
Beef, topside roast, raw, semi-trimmed|Raw meat with external separable fat removed.|1704.03 kcal|280.83 g|63.83 g|25.53 g|NA|NA|459.55 mg|548.9 mg
Beef, with leek, in oyster sauce, stir fried||141.13 kcal|13.19 g|8.86 g|2.9 g|1.18 g|2.15 g|40.45 mg|433.68 mg
Beef, with snow peas, button mushroom, bamboo shoot, stir fried||116.35 kcal|10.95 g|6.81 g|2.35 g|1.24 g|2.83 g|30.01 mg|342.1 mg
Beef, with vegetable, spices, in tomato and chilli sauce, fried (Indian)|Beef, with potato, sliced onion, tomato cube, curry leaf, indian spice, tomato and chilli sauce, fried|611.25 kcal|43.13 g|37.13 g|16.39 g|9.38 g|26.25 g|258.75 mg|1597.5 mg
Beef, wrapped in turmeric leaf, salt and pepper, roasted (Malay)||85.42 kcal|16.08 g|2.34 g|1.03 g|0.65 g|0 g|54.69 mg|274.12 mg
Beehoon goreng|Beehoon, goreng|294.17 kcal|7.31 g|11.39 g|5.47 g|2.94 g|40.63 g|0 mg|722.5 mg
Beehoon, raw (HCS)||365 kcal|5.9 g|0.6 g|0.23 g|2.2 g|84 g|NA|11 mg
Beehoon, with cuttlefish and kangkong|Bihun, with cuttlefish and kangkong; Bee hoon, with cuttlefish and kangkong|382.04 kcal|11.39 g|9.97 g|3.92 g|11.39 g|61.23 g|74.76 mg|1359.92 mg
Beer, lager, light malt|Alcohol: 3-5% by volume|185 kcal|1.5 g|NA|NA|NA|10 g|NA|35 mg
Beetroot halwa|Soft, jelly-type snack made from beetroot, milk and sugar|351.44 kcal|0.18 g|9.11 g|4.51 g|0.64 g|67.07 g|10.12 mg|4.6 mg
Beetroot, raw, peeled|Tiar cai; booni-sarura-relengu; tui-choi, akar bit; beets|85.9 kcal|3.26 g|0.19 g|NA|6.72 g|14.78 g|NA|94.08 mg
Belacan||127.16 kcal|2.68 g|1.1 g|0 g|1.23 g|26.71 g|24.2 mg|750.2 mg
Belimbi||1.98 kcal|0.05 g|0.1 g|NA|0.08 g|0.21 g|NA|0.3 mg
Benedictine D.O.M|Tonic drink containing alcohol|33.28 kcal|0.02 g|NA|NA|NA|2.7 g|NA|0.16 mg
Bengka ambon|Nonya cake, honey comb shaped, made of wheat flour, sago flour, eggs, sugar, yeast, baked|133.28 kcal|0.88 g|5.68 g|4.41 g|0.29 g|19.65 g|32.83 mg|68.6 mg
Bergedil|Deep fried mashed potato|107.11 kcal|2.01 g|6.61 g|2.63 g|1.05 g|9.07 g|14.64 mg|81.78 mg
Betel leaf, raw||0.8 kcal|0.06 g|0.01 g|NA|0.04 g|0.12 g|NA|0.06 mg
Bhatura|Refined bread, made of wholemeal flour and yoghurt, deep-fried|418.44 kcal|7.41 g|23.5 g|10.81 g|1.93 g|44.39 g|5.65 mg|545.68 mg
Bibigo sliced kimchi|-|4.5 kcal|0.3 g|NA|NA|NA|0.75 g|NA|85.5 mg
Bibimbap|Bibimbap|499.1 kcal|37.2 g|10.41 g|2.99 g|4.53 g|62.8 g|291.88 mg|802.88 mg
Bidaran|Made of glutinous rice flour, sesame seeds, grated coconut, brown sugar, deep fried|224.28 kcal|3.59 g|9.94 g|NA|1.24 g|30.15 g|NA|6.9 mg
Big Breakfast, McDonalds'||561.96 kcal|30.24 g|31 g|10.71 g|4.99 g|42.01 g|428.4 mg|1101.24 mg
Big-eye scad|Selar|163.22 kcal|29.99 g|4.74 g|2.26 g|NA|NA|75.33 mg|139.5 mg
Bingka pulot, Malay style|Cake made from coconut milk, sugar, glutinous rice flour, rice flour, baked|212.88 kcal|2.2 g|10.79 g|9.56 g|2.12 g|26.74 g|2.99 mg|80.93 mg
Bingka tepung beras|Made from rice flour, coconut milk, sugar, salt, baked or steamed|189.05 kcal|1.8 g|1.5 g|0 g|1.3 g|42 g|0 mg|40 mg
Bingka ubi kayu|Ubi kayu, bingka|189.83 kcal|1.53 g|7.08 g|5.04 g|1.1 g|30.08 g|NA|79.57 mg
Bingka ubi-kayu, gula merah|Local cake made of tapioca, coconut milk, egg and sugar, baked|223 kcal|2.1 g|4.5 g|NA|1 g|43.8 g|NA|55 mg
Bingsu with Fruit|Ice cream, condensed milk, fruits, nata de coco, almond, ice, peanuts, cream, cranberry and cheese cake|598.08 kcal|9.41 g|21.91 g|15.93 g|19.49 g|90.72 g|NA|276.19 mg
Binjai||92.7 kcal|1.45 g|0.29 g|0.07 g|1.01 g|21.15 g|NA|1.45 mg
Birdnest drink||39.06 kcal|0.84 g|NA|NA|NA|9.02 g|NA|4.65 mg
Birdnest, soaked|Nil|19.84 kcal|3.97 g|NA|NA|NA|0.99 g|NA|9.92 mg
Biscuit, Japanese|Pastry, flaky, flat, oblong shape, brown in colour|403.44 kcal|6.23 g|23.04 g|13.92 g|0.74 g|42.8 g|45.92 mg|374.74 mg
Biscuit, Popeyes||240 kcal|4 g|13 g|7 g|1 g|26 g|NA|490 mg
Biscuit, alphabet||301.65 kcal|4.55 g|6.51 g|3.15 g|1.47 g|56.28 g|11.2 mg|119 mg
Biscuit, chocolate||96.37 kcal|1.6 g|2.9 g|1.51 g|0.4 g|15.98 g|3.15 mg|31.71 mg
Biscuit, chocolate chip|Commercially prepared sweet biscuits embedded with chocolate chips.|54.45 kcal|0.69 g|2.64 g|1.39 g|0.21 g|7.07 g|1.54 mg|37.62 mg
Biscuit, chocolate chip and nut||151.59 kcal|NA|8.49 g|4.18 g|0.53 g|17.05 g|7.75 mg|107.26 mg
Biscuit, chocolate flavour, sandwiched with cream filling|Commercially prepared, chocolate-flavoured sweet biscuit sandwiched with sweetened creamy filling. Approximately 70-80% biscuit and 20-30% creamy filling.|65.38 kcal|0.8 g|3.14 g|1.83 g|0.21 g|8.65 g|1.96 mg|45.64 mg
Biscuit, chocolate-coated|Commercially prepared sweet biscuit enrobed in chocolate-based coating. Approximately 60-85% biscuit and 15-40% chocolate.|66.08 kcal|0.91 g|3.36 g|2.03 g|0.2 g|8.19 g|1.96 mg|35 mg
Biscuit, chocolate-coated, cream filled||79.52 kcal|0.94 g|4.48 g|3.09 g|0.1 g|9.2 g|2.24 mg|30.4 mg
Biscuit, coconut||56.31 kcal|2.15 g|3.8 g|2.87 g|0.87 g|3.37 g|1 mg|3 mg
Biscuit, cream cracker (old)||38.61 kcal|0.8 g|1.16 g|0.59 g|0.55 g|6.53 g|0.99 mg|9.9 mg
Biscuit, finger cream||52.31 kcal|0.55 g|1.78 g|1.19 g|0.17 g|8.52 g|2.58 mg|20.05 mg
Biscuit, flavoured|Commercially prepared, small biscuits made from white wheat flour, with added fat (approximately 20-25%) and flavourings other than cheese|12.43 kcal|0.24 g|0.6 g|0.27 g|0.09 g|1.48 g|0.2 mg|26.65 mg
Biscuit, green gram||80.76 kcal|0.48 g|0.04 g|NA|0.16 g|19.6 g|NA|2.42 mg
Biscuit, iced|Commercially prepared, crisp sweet biscuit topped with sugar-based icing. Predominant ingredients are white wheat flour, sugar, animal or vegetable fats, salt and chemical leavening.|12.54 kcal|0.16 g|0.38 g|0.19 g|0.05 g|2.14 g|0.48 mg|7.29 mg
Biscuit, jam-filled||59.78 kcal|0.62 g|2.48 g|1.22 g|0.25 g|8.86 g|NA|19.6 mg
Biscuit, lemon puff||54.72 kcal|0.5 g|2.06 g|1.15 g|0.13 g|8.52 g|2.76 mg|16.8 mg
Biscuit, macaroon||46.36 kcal|0.48 g|2.43 g|1.75 g|0.82 g|5.44 g|NA|22.23 mg
Biscuit, marie||30.87 kcal|0.5 g|0.78 g|0.41 g|0.14 g|5.46 g|1.05 mg|16.8 mg
Biscuit, oatmeal|Sweet biscuit made predominately from oatmeal. Commercially prepared|46.7 kcal|0.57 g|2.14 g|1.22 g|0.25 g|6.32 g|2.2 mg|64 mg
Biscuit, ovaltine||36.57 kcal|0.6 g|1.4 g|0.08 g|0.4 g|5.4 g|NA|11.02 mg
Biscuit, peanuts and coconut||94.5 kcal|1.97 g|3.3 g|1.53 g|0.5 g|14.24 g|7.14 mg|33.6 mg
Biscuit, rice cracker|savoury biscuit made predominantly from rice flour, generally with added flavourings|49.63 kcal|0.95 g|0.43 g|0.08 g|0.28 g|10.2 g|NA|46.13 mg
Biscuit, sandwiched with cream and jam filling||76.48 kcal|0.67 g|3.73 g|2.18 g|0.24 g|10.26 g|3.84 mg|33.28 mg
Biscuit, sandwiched with peanut butter filling|Crackers with peanut butter filling|58.44 kcal|1.28 g|3.1 g|1.25 g|0.23 g|6.38 g|NA|48.48 mg
Biscuit, savoury, cheese-flavoured|Biscuits made from white wheat flour, with added fat (approximately 20-25%) and added cheese.|10.74 kcal|0.28 g|0.49 g|0.31 g|0.07 g|1.27 g|0.31 mg|21.01 mg
Biscuit, savoury, flavoured|Biscuits made from white wheat flour, with added fat (approximately 20-25%) and added cheese.|10.74 kcal|0.28 g|0.49 g|0.31 g|0.07 g|1.27 g|0.31 mg|21.01 mg
Biscuit, savoury, plain|Water cracker|20.3 kcal|0.5 g|0.47 g|0.24 g|0.14 g|3.43 g|0.15 mg|29.7 mg
Biscuit, savoury, rye crispbread|A thin, flat rectangle of dry bread made predominantly from rye flour, including lite varieties (eg. Ryvita style). Commercially prepared; some brands may include a proportion of wheat flour.|25.43 kcal|0.81 g|0.19 g|0.04 g|1.08 g|4.54 g|NA|36 mg
Biscuit, savoury, salada style|Commercially prepared square biscuits made from white wheat flour, with fat content approximately 14%, sprinkled with salt. Arnotts Salada brand crackers are an example of this style of biscuit.|62.1 kcal|1.29 g|2.04 g|0.89 g|0.54 g|9.3 g|2.4 mg|139.05 mg
Biscuit, savoury, wholemeal|Wholemeal cracker|83.6 kcal|2.22 g|2.52 g|1.06 g|1.6 g|12.12 g|2.8 mg|204.2 mg
Biscuit, savoury, wholemeal wheat crispbread|A thin, flat, savoury biscuit produced from wholemeal wheat flour (plain, cracked pepper and reduced salt varieties) (eg. Vita-Weat style). Commercially prepared.|24.48 kcal|0.59 g|0.58 g|0.23 g|0.75 g|3.82 g|NA|24.72 mg
Biscuit, shortbread style|Shortbread-style biscuits, commercially prepared, made using butter. Other ingredients may include wheat flour, sugar and rice flour.|76.05 kcal|0.89 g|3.95 g|2.25 g|0.28 g|9.3 g|4.35 mg|71.7 mg
Biscuit, soda (old)||32.64 kcal|0.7 g|0.73 g|0.44 g|0.22 g|5.86 g|0.24 mg|35.04 mg
Biscuit, sultana|Biscuit, sultana|29.4 kcal|0.44 g|0.58 g|0.15 g|0.08 g|5.61 g|NA|4.55 mg
Biscuit, sweet, ginger flavoured|Crunchy ginger flavoured biscuits. Sold commercially.|42.3 kcal|0.53 g|1.32 g|0.63 g|0.19 g|7.11 g|1 mg|35.9 mg
Biscuit, sweet, plain|Commercially prepared, plain sweet biscuits made without added flavourings, chocolate, fruit or nuts.|38.51 kcal|0.54 g|1.37 g|0.67 g|0.17 g|5.99 g|1.28 mg|24.65 mg
Biscuit, sweet, wheatmeal|Commercially prepared sweet biscuits made from wheat flour with added wheatmeal.|46 kcal|0.76 g|1.71 g|0.86 g|0.56 g|6.7 g|1.8 mg|42.3 mg
Biscuit, sweet, with dried fruit|Commercially prepared, sweet biscuit embedded with dried vine fruit. Prepared from wheat flour with added sugar and fat. May contain added salt, milk powder and other ingredients.|47.1 kcal|0.54 g|2.18 g|1.12 g|0.24 g|6.34 g|2.4 mg|39.1 mg
Biscuit, sweet, with fruit and nut|Biscuit embedded with dried vine fruit and nuts. Sold commercially.|63.18 kcal|0.78 g|3.35 g|1.69 g|0.25 g|7.54 g|4.29 mg|57.07 mg
Biscuit, sweet, with nuts|Biscuit embedded with crushed nuts (may include peanuts, walnuts, pecans or almonds). Sold commercially.|54.01 kcal|0.74 g|2.66 g|1.18 g|0.26 g|6.82 g|3.74 mg|51.04 mg
Biscuit, vanilla flavoured, sandwiched with cream filling|Commercially prepared, vanilla flavoured sweet biscuit sandwiched with sweetened creamy filling. Approximately 70-80% biscuit and 20-30% creamy filling.|73.05 kcal|0.74 g|3.6 g|2.3 g|0.22 g|9.57 g|3.45 mg|60.9 mg
Biscuit, wafer|Chocolate wafer biscuits filled with vanilla/chocolate cream|20.28 kcal|0.24 g|1.13 g|0.88 g|0.14 g|2.3 g|NA|4.48 mg
Biscuit, wafer (old)|Ice cream biang|45.18 kcal|0.48 g|2.25 g|1.26 g|0.2 g|5.74 g|0.18 mg|6.21 mg
Biscuit, with cream filling|Commercially prepared, chocolate-flavoured sweet biscuit sandwiched with sweetened creamy filling. Approximately 70-80% biscuit and 20-30% creamy filling.|65.38 kcal|0.8 g|3.14 g|1.83 g|0.21 g|8.65 g|1.96 mg|45.64 mg
Biscuits, high calcium|Biscuits with added calcium|136.08 kcal|1.84 g|6.45 g|2.95 g|0.59 g|17.66 g|NA|146.88 mg
Biscuits, with icing on top|Nil|539.5 kcal|7.28 g|9.23 g|4.56 g|3.38 g|107.12 g|NA|282.1 mg
Bitter gourd, in gravy (Indian)|Masala karela|87.55 kcal|1.16 g|8.75 g|5.43 g|2.48 g|1.05 g|NA|518.11 mg
Black bean, preserved|Salted black bean|66.75 kcal|7.2 g|2.13 g|0.41 g|2.2 g|2.25 g|NA|751.5 mg
Black carrot cake|Carrot Cake W/ Egg and Dark Sweet Sauce, Mashed and FR|556.47 kcal|13.16 g|26.74 g|10.05 g|1.54 g|65.77 g|205.8 mg|1937.08 mg
Black chicken herbal soup, soup only|Black chicken soup stock, cooked with herbs, liquid portion only|48.62 kcal|3.74 g|0.75 g|0 g|NA|6.36 g|0 mg|691.9 mg
Black pearl cereal beverage|Instant powder drink made from black soybean and sesame seeds|129.9 kcal|3.6 g|4.08 g|0.6 g|2.7 g|19.71 g|NA|10.8 mg
